network_index,network_name,title,description,networkDomain,subDomain,sourceUrl,number_nodes,number_edges
18.0,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,3155.0,5648.0
19.0,Binary_interactomes_various species_2012_M_musculus_mouse_binary_hq,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,705.0,1243.0
20.0,Binary_interactomes_various species_2012_M_musculus_mouse_binary_ht,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,537.0,1028.0
21.0,Binary_interactomes_various species_2012_M_musculus_mouse_binary_lc,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,81.0,108.0
22.0,Binary_interactomes_various species_2012_M_musculus_mouse_cocomp_hq,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,890.0,1329.0
25.0,Binary_interactomes_various species_2012_R_norvegicus_rat_cocomp_hq,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,104.0,117.0
26.0,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_hq,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,129.0,153.0
27.0,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_ht,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,96.0,114.0
28.0,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_lc,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,28.0,56.0
29.0,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_cocomp_hq,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,90.0,118.0
30.0,Bluthgen_plant-ant_web_Bluthgen_plant-ant_web,Bluthgen plant-ant web,"A bipartite network of plants and ant species, from the rainforest at the Australian Canopy Crane in Cape Tribulation, Australia. Edge weights represent the frequency of species interaction. Includes abundance estimates on the nodes\n      \n",Biological,Food web,http://www.jstor.org/stable/3548119,92.0,285.0
31.0,C_elegans_interactomes_2009_BPmaps_scaffold,C. elegans interactomes (2009),"Ten networks of protein-protein interactions in Caenorhabditis elegans (nematode), from yeast two-hybrid experiments, biological process maps, literature curation, orthologous interactions, and genetic interactions. The WI8 network combines WI2004, WI2007 and BPmaps, while the Integrated Network combines data from all sources",Biological,Protein interactions,http://ccsb.dfci.harvard.edu/web/export/sites/default/ccsb/publications/papers/2009/Simonis_NatMeth_1-09.pdf,345.0,400.0
32.0,C_elegans_interactomes_2009_Genetic,C. elegans interactomes (2009),"Ten networks of protein-protein interactions in Caenorhabditis elegans (nematode), from yeast two-hybrid experiments, biological process maps, literature curation, orthologous interactions, and genetic interactions. The WI8 network combines WI2004, WI2007 and BPmaps, while the Integrated Network combines data from all sources",Biological,Protein interactions,http://ccsb.dfci.harvard.edu/web/export/sites/default/ccsb/publications/papers/2009/Simonis_NatMeth_1-09.pdf,683.0,1543.0
33.0,C_elegans_interactomes_2009_LCI_lit,C. elegans interactomes (2009),"Ten networks of protein-protein interactions in Caenorhabditis elegans (nematode), from yeast two-hybrid experiments, biological process maps, literature curation, orthologous interactions, and genetic interactions. The WI8 network combines WI2004, WI2007 and BPmaps, while the Integrated Network combines data from all sources",Biological,Protein interactions,http://ccsb.dfci.harvard.edu/web/export/sites/default/ccsb/publications/papers/2009/Simonis_NatMeth_1-09.pdf,117.0,123.0
34.0,C_elegans_interactomes_2009_WI-2004,C. elegans interactomes (2009),"Ten networks of protein-protein interactions in Caenorhabditis elegans (nematode), from yeast two-hybrid experiments, biological process maps, literature curation, orthologous interactions, and genetic interactions. The WI8 network combines WI2004, WI2007 and BPmaps, while the Integrated Network combines data from all sources",Biological,Protein interactions,http://ccsb.dfci.harvard.edu/web/export/sites/default/ccsb/publications/papers/2009/Simonis_NatMeth_1-09.pdf,1084.0,1602.0
35.0,C_elegans_interactomes_2009_WI-2007,C. elegans interactomes (2009),"Ten networks of protein-protein interactions in Caenorhabditis elegans (nematode), from yeast two-hybrid experiments, biological process maps, literature curation, orthologous interactions, and genetic interactions. The WI8 network combines WI2004, WI2007 and BPmaps, while the Integrated Network combines data from all sources",Biological,Protein interactions,http://ccsb.dfci.harvard.edu/web/export/sites/default/ccsb/publications/papers/2009/Simonis_NatMeth_1-09.pdf,1108.0,1500.0
36.0,C_elegans_interactomes_2009_WI8,C. elegans interactomes (2009),"Ten networks of protein-protein interactions in Caenorhabditis elegans (nematode), from yeast two-hybrid experiments, biological process maps, literature curation, orthologous interactions, and genetic interactions. The WI8 network combines WI2004, WI2007 and BPmaps, while the Integrated Network combines data from all sources",Biological,Protein interactions,http://ccsb.dfci.harvard.edu/web/export/sites/default/ccsb/publications/papers/2009/Simonis_NatMeth_1-09.pdf,2214.0,3538.0
37.0,C_elegans_neurons_1986_C_elegans_Metabolic,C. elegans interactomes (2009),"Ten networks of protein-protein interactions in Caenorhabditis elegans (nematode), from yeast two-hybrid experiments, biological process maps, literature curation, orthologous interactions, and genetic interactions. The WI8 network combines WI2004, WI2007 and BPmaps, while the Integrated Network combines data from all sources",Biological,Protein interactions,http://ccsb.dfci.harvard.edu/web/export/sites/default/ccsb/publications/papers/2009/Simonis_NatMeth_1-09.pdf,297.0,2148.0
38.0,C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1,C. elegans interactomes (2009),"Ten networks of protein-protein interactions in Caenorhabditis elegans (nematode), from yeast two-hybrid experiments, biological process maps, literature curation, orthologous interactions, and genetic interactions. The WI8 network combines WI2004, WI2007 and BPmaps, while the Integrated Network combines data from all sources",Biological,Protein interactions,http://ccsb.dfci.harvard.edu/web/export/sites/default/ccsb/publications/papers/2009/Simonis_NatMeth_1-09.pdf,279.0,2287.0
39.0,C_elegans_posterior_nervous_system_Worm_c_elegans_neural_male_1,C. elegans interactomes (2009),"Ten networks of protein-protein interactions in Caenorhabditis elegans (nematode), from yeast two-hybrid experiments, biological process maps, literature curation, orthologous interactions, and genetic interactions. The WI8 network combines WI2004, WI2007 and BPmaps, while the Integrated Network combines data from all sources",Biological,Protein interactions,http://ccsb.dfci.harvard.edu/web/export/sites/default/ccsb/publications/papers/2009/Simonis_NatMeth_1-09.pdf,269.0,2902.0
40.0,Cat_brain_2013_Cat_mixed_species_brain_1,Cat brain (2013),"Network of interactions among cortical regions in the cat brain, as measured by tract studies",Biological,Connectome,http://www.jneurosci.org/content/33/32/12929.full,65.0,730.0
41.0,Cat_cerebral_hemisphere_cortex_and_thalamus,Cat cerebral hemisphere,"Two versions of a network representing extrinsic connections among cortical areas and thalamic nuclei of the cat cerebral hemisphere. Connections identified by tracing studies. One network covers all areas, while the other covers only the cortical areas",Biological,Connectome,http://cercor.oxfordjournals.org/content/9/3/277.short,95.0,1170.0
42.0,Cat_cerebral_hemisphere_cortex_only,Cat cerebral hemisphere,"Two versions of a network representing extrinsic connections among cortical areas and thalamic nuclei of the cat cerebral hemisphere. Connections identified by tracing studies. One network covers all areas, while the other covers only the cortical areas",Biological,Connectome,http://cercor.oxfordjournals.org/content/9/3/277.short,52.0,515.0
43.0,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,Clements & Long plant-pollinator web,"A bipartite network of plants and pollinators from a Brazilian steppe (\""caatinga\"")\n",Biological,Food web,http://www.amazon.com/Experimental-pollination-outline-ecology-flowers/dp/111570690X,361.0,918.0
44.0,Cold_Lake_host-parasite_web_Cold_Lake,Cold Lake host-parasite web,"A multiplex network of parasites and their host species, from Canadian freshwater systems. Includes all observed species of internal and external metazoan parasites. Edges come into two types, with weights representing the prevalence of a parasite or the intensity of the infection.",Biological,Food web,http://onlinelibrary.wiley.com/doi/10.1111/j.1095-8649.1981.tb03811.x/abstract,50.0,91.0
46.0,Dolphin_social_network_Dolphins,Dolphin social network (1994-2001),"An undirected social network of frequent associations observed among 62 dolphins (Tursiops) in a community living off Doubtful Sound, New Zealand, from 1994-2001. The two versions listed below are equivalent.",Social,Animal,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.174.3721&rep=rep1&type=pdf,62.0,159.0
47.0,Dupont_plant-pollinator_web_Dupont_plant-pollinator_web,Dupont plant-pollinator web,"A bipartite network of plants and pollinators from a high-altitude sub-alpine desert community of Tenerife, Canary Islands",Biological,Food web,http://www.jstor.org/stable/3683371,49.0,106.0
48.0,Elberling_Olesen_plant-pollinator_web_Elberling_Olesen_plant-pollinator_web,Elberling & Olesen plant-pollinator web,"A bipartite network of plants and pollinators from the subarctic alpine zone of Latnjajaure, in northern Sweden, from May to August 1994. Edge weights represent the frequency of interaction",Biological,Food web,http://onlinelibrary.wiley.com/doi/10.1111/j.1600-0587.1999.tb00507.x/abstract,141.0,238.0
49.0,Email_network_Uni_R-V_Spain_Email_network_Uni_R-V_Spain,"Email network (Uni. R-V, Spain, 2003)","A network representing the exchange of emails among members of the Rovira i Virgili University in Spain, in 2003. The KONECT version is undirected.",Social,Communication,http://deim.urv.cat/~alexandre.arenas/publicacions/pdf/email.pdf,1133.0,5451.0
50.0,Family_planning_in_Korea1,Family planning in Korea,"\n      The network represents women in Korea discussing family planning.  Edges represent a planning discussion, and women are labelled by whether they adopted or were members of local 'Mother's Club\n      \n",Social,Offline,http://www.jstor.org/stable/2779275?seq=1#page_scan_tab_contents,33.0,68.0
51.0,Family_planning_in_Korea2,Family planning in Korea,"\n      The network represents women in Korea discussing family planning.  Edges represent a planning discussion, and women are labelled by whether they adopted or were members of local 'Mother's Club\n      \n",Social,Offline,http://www.jstor.org/stable/2779275?seq=1#page_scan_tab_contents,35.0,84.0
52.0,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,Fonseca & Ganade plant-ant web,"A bipartite network of plants and ant species, from the central Amazonian rainforest, north of Manaus, Brazil in 1990. Edge weights represent the frequency of species interaction",Biological,Food web,http://www.jstor.org/stable/5880,29.0,38.0
53.0,Freshwater_stream_webs_AkatoreA,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,84.0,227.0
54.0,Freshwater_stream_webs_AkatoreB,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,54.0,117.0
55.0,Freshwater_stream_webs_Berwick,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,77.0,240.0
56.0,Freshwater_stream_webs_Blackrock,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,86.0,375.0
57.0,Freshwater_stream_webs_Broad,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,94.0,564.0
58.0,Freshwater_stream_webs_Canton,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,62.0,167.0
59.0,Freshwater_stream_webs_Catlins,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,48.0,110.0
60.0,Freshwater_stream_webs_Coweeta1,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,58.0,126.0
61.0,Freshwater_stream_webs_Coweeta17,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,71.0,148.0
62.0,Freshwater_stream_webs_DempstersAu,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,83.0,414.0
63.0,Freshwater_stream_webs_DempstersSp,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,93.0,538.0
64.0,Freshwater_stream_webs_DempstersSu,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,107.0,965.0
65.0,Freshwater_stream_webs_German,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,84.0,352.0
66.0,Freshwater_stream_webs_Healy,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,96.0,634.0
67.0,Freshwater_stream_webs_Kyeburn,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,98.0,629.0
68.0,Freshwater_stream_webs_LilKyeburn,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,78.0,375.0
69.0,Freshwater_stream_webs_Martins,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,105.0,343.0
70.0,Freshwater_stream_webs_Narrowdale,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,71.0,154.0
71.0,Freshwater_stream_webs_NorthCol,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,78.0,241.0
72.0,Freshwater_stream_webs_Powder,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,78.0,268.0
73.0,Freshwater_stream_webs_Stony,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,112.0,830.0
74.0,Freshwater_stream_webs_SuttonAu,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,80.0,335.0
75.0,Freshwater_stream_webs_SuttonSp,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,74.0,391.0
76.0,Freshwater_stream_webs_SuttonSu,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,86.0,423.0
77.0,Freshwater_stream_webs_Troy,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,77.0,181.0
78.0,Freshwater_stream_webs_Venlaw,Freshwater stream webs,"A set of 26 networks of trophic-level species interactions in streams in New Zealand, Maine and North Carolina. Networks include the identities of aquatic insect, algae and fish species and their trophic interactions. Excel and plain text adjacency matrices available; webs can be downloaded individually or as a group\n",Biological,Food web,http://www.jstor.org/stable/3108005,66.0,187.0
79.0,German_highway_system_2002_Autobahn_2002,German highway system (2002),"A network of highways in Germany, in which nodes are locations and two locations are linked if they are directly connected by a highway\n",Transportation,Roads,http://www.dynamic-connectome.org/pubs/Kaiser2004b.pdf,1168.0,1243.0
80.0,"High_school_dynamic_contact_networks_contact_list,_2011",High school dynamic contacts (2011-2012),"Two temporal networks of contacts between students in a high school in Marseilles, France. The first gives student contacts for 3 classes over 4 days in 12/2011, and the second gives student contacts for 5 classes over 7 days in 11/2012. Networks sampled at 20-second intervals",Social,Offline,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0107878,126.0,1709.0
81.0,"High_school_dynamic_contact_networks_contact_list,_2012",High school dynamic contacts (2011-2012),"Two temporal networks of contacts between students in a high school in Marseilles, France. The first gives student contacts for 3 classes over 4 days in 12/2011, and the second gives student contacts for 5 classes over 7 days in 11/2012. Networks sampled at 20-second intervals",Social,Offline,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0107878,180.0,2220.0
83.0,Hollywood_film_music_Hollywood_film_music,Hollywood film music,A bipartite network of collaborations among 40 film score composers and the 62 producers who produced a minimum of five movies in Hollywood from 1964 - 1976.  Edge values indicate the number of collaborations.  The names of the top 5 earning composers during this period are included.,Social,Collaboration,http://www.jstor.org/stable/2989905,101.0,192.0
84.0,Inouye_Pyke_plant-pollinator_web_Inouye_Pyke_plant-pollinator_web,Inouye & Pyke plant-pollinator web,"A bipartite network of alpine plants and pollinators from Kosciusko National Park in New South Wales, Australia, from December 1983 to March 1984. Edge weights represent level of visitation",Biological,Food web,http://onlinelibrary.wiley.com/doi/10.1111/j.1442-9993.1988.tb00968.x/abstract,128.0,278.0
85.0,ISCAS89_Benchmark_Circuits__s1196_benc,ISCAS89 Benchmark Circuits,"\n    A set of 31 sequential benchmark circuits in ISCAS'89. Nodes represent either logical gates such as AND, OR, NAND, etc. or terminals for input and output. Edges represent connectivity between logical gates and terminals and have directionality\n",Technological,Digital Circuit,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=100747&tag=1,588.0,1038.0
86.0,ISCAS89_Benchmark_Circuits__s1238_benc,ISCAS89 Benchmark Circuits,"\n    A set of 31 sequential benchmark circuits in ISCAS'89. Nodes represent either logical gates such as AND, OR, NAND, etc. or terminals for input and output. Edges represent connectivity between logical gates and terminals and have directionality\n",Technological,Digital Circuit,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=100747&tag=1,567.0,1070.0
87.0,ISCAS89_Benchmark_Circuits__s1423_benc,ISCAS89 Benchmark Circuits,"\n    A set of 31 sequential benchmark circuits in ISCAS'89. Nodes represent either logical gates such as AND, OR, NAND, etc. or terminals for input and output. Edges represent connectivity between logical gates and terminals and have directionality\n",Technological,Digital Circuit,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=100747&tag=1,819.0,1237.0
88.0,ISCAS89_Benchmark_Circuits__s1488_benc,ISCAS89 Benchmark Circuits,"\n    A set of 31 sequential benchmark circuits in ISCAS'89. Nodes represent either logical gates such as AND, OR, NAND, etc. or terminals for input and output. Edges represent connectivity between logical gates and terminals and have directionality\n",Technological,Digital Circuit,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=100747&tag=1,692.0,1412.0
